h_tract,w_tract,commuters
42003020100,42003020100,723
42003409000,42003020100,620
42003409000,42003409000,488
42003191800,42003020100,487
42003412001,42003020100,442
42003411000,42003020100,399
42003456003,42003020100,371
42003191700,42003020100,364
42003413100,42003020100,358
42003473100,42003020100,355
42003426300,42003020100,353
42003414102,42003020100,350
42003437000,42003020100,350
42003563100,42003020100,350
42003170200,42003020100,348
42003458000,42003020100,346
42003202300,42003020100,345
42003473300,42003020100,343
42003478200,42003020100,334
42003452000,42003452000,333
42003459201,42003459201,333
42003191600,42003020100,327
42003475304,42003020100,326
42003480400,42003020100,325
42003477300,42003020100,324
42003141400,42003982200,321
42003476100,42003020100,316
42003453004,42003452000,315
42003469000,42003020100,311
42003453004,42003459201,310
42003141400,42003020100,307
42003412002,42003020100,302
42003310200,42003020100,300
42003491101,42003020100,300
42003290400,42003020100,294
42003151700,42003020100,293
42003427100,42003020100,293
42003426800,42003020100,292
42003473601,42003020100,290
42003429201,42003020100,289
42003429300,42003020100,286
42003451300,42003451300,286
42003470501,42003020100,285
42003473602,42003020100,285
42003408002,42003020100,283
42003413500,42003020100,283
42003414200,42003020100,282
42003473401,42003020100,280
42003459102,42003459201,279
42003475101,42003020100,276
42003429202,42003020100,272
42003429400,42003020100,269
42003484500,42003020100,269
42003110200,42003020100,267
42003473402,42003020100,267
42003458000,42003458000,265
42003459102,42003020100,263
42003411000,42003411000,261
42003422000,42003020100,259
42003414101,42003020100,257
42003478100,42003020100,255
42003451300,42003020100,254
42003140300,42003982200,250
42003191400,42003020100,250
42003474101,42003020100,250
42003192000,42003020100,249
42003477100,42003020100,249
42003473500,42003020100,248
42003413400,42003020100,245
42003101400,42003020100,244
42003101800,42003020100,244
42003453004,42003020100,244
42003140800,42003982200,242
42003320600,42003020100,241
42003480300,42003020100,241
42003490004,42003020100,241
42003476200,42003020100,240
42003270100,42003020100,237
42003460001,42003020100,237
42003429500,42003020100,236
42003475301,42003020100,236
42003451300,42003452000,235
42003412001,42003982200,234
42003160900,42003020100,233
42003475401,42003020100,233
42003070500,42003020100,231
42003070900,42003982200,230
42003474202,42003020100,229
42003140600,42003982200,228
42003191100,42003020100,227
42003413300,42003020100,227
42003430200,42003020100,227
42003474102,42003020100,227
42003270800,42003020100,226
42003426400,42003020100,226
42003564000,42003452000,226
42003421100,42003020100,225
42003422000,42003982200,225
42003459201,42003020100,225
42003475303,42003020100,224
42003526101,42003020100,224
42003474203,42003020100,222
42003564000,42003459201,222
42003472200,42003020100,221
42003300100,42003020100,220
42003470300,42003020100,220
42003141300,42003982200,219
42003427200,42003020100,217
42003477200,42003020100,216
42003452000,42003459201,215
42003110200,42003982200,211
42003191900,42003020100,211
42003480101,42003020100,211
42003151700,42003982200,210
42003523400,42003020100,210
42003290200,42003020100,209
42003421200,42003020100,209
42003489001,42003020100,209
42003518001,42003020100,209
42003451300,42003459201,208
42003475200,42003020100,208
42003240600,42003020100,206
42003480200,42003020100,206
42003409000,42003411000,204
42003413201,42003020100,204
42003452000,42003020100,204
42003473200,42003020100,204
42003563200,42003020100,203
42003456004,42003020100,202
42003469000,42003469000,202
42003563900,42003020100,202
42003445500,42003445500,201
42003407002,42003020100,199
42003431100,42003020100,198
42003070900,42003020100,196
42003429600,42003020100,196
42003523501,42003020100,196
42003220600,42003020100,195
42003431500,42003020100,194
42003151600,42003020100,192
42003458000,42003459201,192
42003490002,42003020100,192
42003060300,42003020100,191
42003140600,42003020100,190
42003451300,42003451105,190
42003210700,42003020100,189
42003415001,42003020100,189
42003526302,42003020100,189
42003409000,42003982200,188
42003472100,42003020100,188
42003140400,42003982200,186
42003490003,42003020100,186
42003160800,42003020100,184
42003090200,42003020100,182
42003470502,42003020100,181
42003564000,42003564000,181
42003562400,42003020100,179
42003451102,42003452000,178
42003523600,42003020100,178
42003140300,42003020100,176
42003480102,42003020100,176
42003421100,42003421100,175
42003421200,42003982200,175
42003563000,42003020100,175
42003100500,42003020100,174
42003408001,42003020100,174
42003472300,42003020100,174
42003475402,42003020100,174
42003437000,42003437000,173
42003202200,42003020100,172
42003489002,42003020100,172
42003407002,42003407002,171
42003523702,42003020100,171
42003563800,42003020100,171
42003445500,42003020100,170
42003491101,42003491101,170
42003191500,42003020100,169
42003451105,42003452000,169
42003488600,42003020100,168
42003070500,42003982200,167
42003503002,42003020100,167
42003180700,42003020100,166
42003408002,42003408001,166
42003423000,42003020100,166
42003451105,42003451105,166
42003101100,42003020100,165
42003190300,42003020100,165
42003464300,42003020100,165
42003526301,42003020100,164
42003564000,42003020100,164
42003429100,42003020100,163
42003523100,42003020100,162
42003523800,42003020100,162
42003090100,42003020100,161
42003523200,42003020100,161
42003472400,42003020100,160
42003481000,42003020100,160
42003488400,42003020100,160
42003519000,42003020100,160
42003561400,42003020100,160
42003562700,42003020100,160
42003564400,42003020100,160
42003140800,42003020100,159
42003453004,42003451300,158
42003562300,42003020100,158
42003080900,42003020100,157
42003030500,42003020100,155
42003110600,42003020100,155
42003281400,42003020100,154
42003413202,42003020100,154
42003523300,42003020100,154
42003408001,42003408001,152
42003465800,42003020100,152
42003521402,42003020100,152
42003562000,42003982200,152
42003110600,42003982200,151
42003141300,42003020100,151
42003452000,42003451300,151
42003470501,42003470502,150
42003520001,42003020100,150
42003521200,42003521200,149
42003170600,42003020100,148
42003262000,42003020100,148
42003412001,42003412001,148
42003427000,42003020100,148
42003432400,42003020100,148
42003451105,42003451300,148
42003515401,42003020100,148
42003271500,42003020100,147
42003411000,42003982200,147
42003413100,42003409000,147
42003413500,42003413500,147
42003459201,42003452000,147
42003460001,42003459201,147
42003468900,42003020100,147
42003521200,42003020100,146
42003320400,42003020100,145
42003434000,42003020100,145
42003504100,42003020100,144
42003521100,42003020100,144
42003141400,42003040200,143
42003422000,42003421100,143
42003451104,42003452000,143
42003140100,42003020100,142
42003140100,42003982200,142
42003070300,42003020100,141
42003320700,42003020100,141
42003421100,42003982200,141
42003456001,42003020100,141
42003111300,42003020100,140
42003429700,42003020100,139
42003518001,42003982200,139
42003080600,42003982200,138
42003435000,42003020100,138
42003516200,42003020100,138
